"","GeneID","Chr","FeatureType","Product","meanDiversity","StDev","ChangesSum.866","ChangesSum.942","ChangesSum.900","ChangesSum.IXa","SNPs.866","SNPs.942","SNPs.900","SNPs.IXa","AmSNPs.866","AmSNPs.942","AmSNPs.900","AmSNPs.IXa","INS.866","INS.942","INS.900","INS.IXa","DEL.866","DEL.942","DEL.900","DEL.IXa"
"478","CTYZ_00000573","Ctyz_8","CDS","Pseudouridine[space]synthase[space]I[space]TruA",3,0,3,3,NA,3,2,3,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"479","CTYZ_00000574","Ctyz_8","CDS","putative[space]Secreted[space]Protein",9,5.35,9,16,3,8,7,15,2,8,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA
"480","CTYZ_00000575","Ctyz_8","CDS","putative[space]Secreted[space]Protein",7.5,3.32,8,8,3,11,8,8,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","CTYZ_00000576","Ctyz_8","CDS","putative[space]Secreted[space]Protein",29.75,48.23,3,9,5,102,3,9,5,100,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"482","CTYZ_00000577","Ctyz_8","CDS","Serine/threonine-protein[space]kinase",2,0,2,2,2,2,1,2,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"483","CTYZ_00000578","Ctyz_8","CDS","putative[space]Secreted[space]Protein",3,2.45,6,1,1,4,6,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","CTYZ_00000579","Ctyz_8","CDS","Uncharacterized[space]protein",25.25,17.69,42,16,5,38,40,16,5,38,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"485","CTYZ_00000580","Ctyz_8","CDS","Uncharacterized[space]protein",1.5,0.71,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"486","CTYZ_00000581","Ctyz_8","CDS","Uncharacterized[space]protein",1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","CTYZ_00000582","Ctyz_8","CDS","Uncharacterized[space]protein",5.67,1.53,6,4,NA,7,6,4,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","CTYZ_00000583","Ctyz_8","CDS","Uncharacterized[space]protein",8.33,4.62,11,3,NA,11,11,2,NA,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"489","CTYZ_00000584","Ctyz_8","CDS","Uncharacterized[space]protein",4.5,2.12,3,NA,NA,6,2,NA,NA,3,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA
"490","CTYZ_00000585","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","CTYZ_00000586","Ctyz_8","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","CTYZ_00000587","Ctyz_8","CDS","Uncharacterized[space]protein",1.33,0.58,1,1,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","CTYZ_00000589","Ctyz_7","rRNA","18S[space]ribosomal[space]RNA",16.5,16.26,28,NA,5,NA,28,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","CTYZ_00000590","Ctyz_7","CDS","Uncharacterized[space]protein",13,7.39,16,22,6,8,16,21,6,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"495","CTYZ_00000591","Ctyz_7","CDS","Uncharacterized[space]protein",2.25,0.5,2,3,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","CTYZ_00000592","Ctyz_7","CDS","Ankyrin[space]repeat-containing[space]protein",1.33,0.58,1,1,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","CTYZ_00000593","Ctyz_7","CDS","Uncharacterized[space]protein",5.5,1.91,4,8,6,4,4,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","CTYZ_00000594","Ctyz_7","CDS","Protein[space]kinase/EF-hand[space]domain[space]containing[space]protein",1.75,1.5,4,1,1,1,2,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"499","CTYZ_00000597","Ctyz_7","CDS","Integral[space]membrane[space]protein[space]with[space]6[space]transmembrane[space]domains[space]and[space]possible[space]ring[space]domain",1.5,0.58,1,2,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","CTYZ_00000599","Ctyz_7","CDS","SLC26A/SulP[space]transporter",3.5,1.29,4,3,2,5,4,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","CTYZ_00000600","Ctyz_7","CDS","RING-type[space]Zinc[space]finger[space]domain[space]containing[space]protein",1.5,0.71,1,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","CTYZ_00000601","Ctyz_7","CDS","Sortilin",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","CTYZ_00000602","Ctyz_7","CDS","cAMP-dependent[space]protein[space]kinase[space]regulatory[space]subunit",1,0,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","CTYZ_00000604","Ctyz_7","CDS","SprT[space]family[space]metallopeptidase",2,1.41,1,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"505","CTYZ_00000605","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","CTYZ_00000606","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","CTYZ_00000607","Ctyz_7","CDS","WD40-repeat-containing[space]protein",1,0,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"508","CTYZ_00000608","Ctyz_7","CDS","Uncharacterized[space]protein",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","CTYZ_00000609","Ctyz_7","CDS",NA,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","CTYZ_00000610","Ctyz_7","CDS",NA,2,1.41,NA,1,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"511","CTYZ_00000611","Ctyz_7","CDS","Peptidylprolyl[space]isomerase",1.25,0.5,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","CTYZ_00000612","Ctyz_7","CDS","GTP-binding[space]nuclear[space]protein",1,0,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","CTYZ_00000613","Ctyz_7","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","CTYZ_00000615","Ctyz_7","CDS","Digestive[space]organ[space]expansion[space]factor",3,2,1,3,NA,5,1,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","CTYZ_00000616","Ctyz_7","CDS","VIT/Ccc1[space]family",1.75,0.96,1,3,2,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","CTYZ_00000617","Ctyz_7","CDS","AD/NAD(P)-binding[space]domain[space]containing[space]protein",3.25,1.89,2,3,2,6,2,3,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","CTYZ_00000619","Ctyz_7","CDS","Rad21/Rec8-like[space]protein[comma]Uncharacterized[space]protein",2.25,0.96,2,3,1,3,2,2,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"518","CTYZ_00000620","Ctyz_7","CDS","CpCCP2[space]extracellular[space]protein",5,1.63,7,5,3,5,7,5,2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"519","CTYZ_00000621","Ctyz_7","CDS","GLE1-like[space]protein",1,0,1,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"520","CTYZ_00000623","Ctyz_7","CDS","Endomembrane[space]protein[space]70[space]Nonaspanin[space](TM9SF)",2,0.82,1,3,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","CTYZ_00000624","Ctyz_7","CDS","GRASP55/65[space]PDZ-like[space]domain[space]containing[space]protein",2.25,0.5,2,3,2,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"522","CTYZ_00000625","Ctyz_7","CDS","Uncharacterized[space]protein",1,0,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","CTYZ_00000626","Ctyz_7","CDS","Autophagy-related[space]protein[space]16",1.25,0.5,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","CTYZ_00000627","Ctyz_7","CDS","Heat[space]shock[space]protein[space]70",1.25,0.5,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","CTYZ_00000628","Ctyz_7","CDS","PhoPQ-activated[space]pathogenicity-related[space]protein",1.5,0.58,1,2,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"526","CTYZ_00000629","Ctyz_7","CDS","Uncharacterized[space]protein",1.75,0.96,1,3,2,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","CTYZ_00000630","Ctyz_7","CDS",NA,3,1.41,NA,4,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","CTYZ_00000631","Ctyz_7","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","CTYZ_00000632","Ctyz_7","CDS","OST-HTH[space]associated[space]domain[space]containing[space]protein",1,0,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","CTYZ_00000634","Ctyz_7","CDS","Protein[space]with[space]DEXDc[space]plus[space]ring[space]plus[space]HELICc[space]possible[space]SNF2[space]domain",4.67,3.51,1,5,NA,8,1,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"531","CTYZ_00000636","Ctyz_7","CDS",NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"532","CTYZ_00000637","Ctyz_7","CDS","Phosphatidate[space]cytidylyltransferase",3.5,0.58,4,3,3,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","CTYZ_00000638","Ctyz_7","CDS","P-type[space]cation-transporting[space]ATPase",3,0.82,2,3,4,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","CTYZ_00000640","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","CTYZ_00000641","Ctyz_7","CDS","Uncharacterized[space]protein",1.67,1.15,1,3,NA,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","CTYZ_00000642","Ctyz_7","CDS","RTR1-type[space]zinc[space]finger",3.67,0.58,3,4,NA,4,3,3,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"537","CTYZ_00000644","Ctyz_7","CDS","Cyclophilin-like[space]peptidyl-prolyl[space]cis-trans[space]isomerase",2,0.82,2,3,1,2,1,3,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"538","CTYZ_00000646","Ctyz_7","CDS","GPI[space]transamidase[space]subunit[space]PIG-U",1.75,0.96,1,3,1,2,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","CTYZ_00000647","Ctyz_7","CDS","Uncharacterized[space]protein",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","CTYZ_00000648","Ctyz_7","CDS","Uncharacterized[space]protein",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","CTYZ_00000650","Ctyz_7","CDS","Uncharacterized[space]protein",2.75,1.71,3,5,1,2,3,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"542","CTYZ_00000651","Ctyz_7","CDS","Ser/Thr[space]protein[space]kinase",2.67,1.53,3,1,NA,4,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"543","CTYZ_00000652","Ctyz_7","CDS",NA,1,0,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","CTYZ_00000654","Ctyz_7","CDS","Sec14d/CRAL-TRIO[space]domain-containing[space]protein",2,1,3,2,1,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","CTYZ_00000655","Ctyz_7","CDS",NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","CTYZ_00000656","Ctyz_7","CDS","Prp16p[space]pre-mRNA[space]splicing[space]factor[space]HrpA[space]family[space]SFII[space]helicase",2.5,1.29,4,2,1,3,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","CTYZ_00000657","Ctyz_7","CDS","Cyclin-like[space]protein",2.25,0.5,2,2,2,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","CTYZ_00000658","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","CTYZ_00000659","Ctyz_7","CDS","t-SNARE[space]domain-containing[space]protein",1.67,0.58,2,2,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"550","CTYZ_00000660","Ctyz_7","CDS","O-acyltransferase[space]WSD1[space]C-terminal[space]domain[space]containing[space]protein",2.67,1.15,2,4,NA,2,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","CTYZ_00000661","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"552","CTYZ_00000662","Ctyz_7","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","CTYZ_00000663","Ctyz_7","CDS","Uncharacterized[space]Protein",2,0,2,2,NA,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","CTYZ_00000664","Ctyz_7","CDS","KH[space]domain[space]type[space]1[space]containing[space]protein",1.5,0.58,2,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","CTYZ_00000666","Ctyz_7","CDS","Uncharacterized[space]protein",5.75,2.22,5,9,4,5,5,8,4,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"556","CTYZ_00000667","Ctyz_7","CDS","Uncharacterized[space]protein",2.25,0.5,2,3,2,2,2,3,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"557","CTYZ_00000668","Ctyz_7","CDS","Signal[space]recognition[space]particle[space]SRP9/SRP14[space]subunit",2.25,1.26,2,4,1,2,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","CTYZ_00000669","Ctyz_7","CDS","Bruno-like[space]protein[space]with[space]2[space]RRM[space]domains",4,0.82,4,5,3,4,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","CTYZ_00000670","Ctyz_7","CDS","LuxS/M16[space]peptidase-like[space]Metalloenzyme",3.5,1.73,4,5,1,4,4,4,1,3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"560","CTYZ_00000671","Ctyz_7","CDS","Uncharacterized[space]protein",2,0,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","CTYZ_00000672","Ctyz_7","CDS","Uncharacterized[space]protein",1,0,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"562","CTYZ_00000673","Ctyz_7","CDS","Uncharacterized[space]protein",1.33,0.58,1,1,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","CTYZ_00000675","Ctyz_7","CDS","RAD3'DEXDc+HELICc[space]protein",2.5,1.29,1,3,2,4,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","CTYZ_00000676","Ctyz_7","CDS","Queuine[space]tRNA-ribosyltransferase[space]catalytic[space]subunit[space]1",1.75,0.96,1,3,2,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","CTYZ_00000677","Ctyz_7","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","CTYZ_00000678","Ctyz_7","CDS","Patched[space]family[space]protein/Sterol-sensing[space]domain-containing[space]protein",2.5,0.58,2,3,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
"567","CTYZ_00000679","Ctyz_7","CDS","Armadillo-like[space]helical[space]protein",12.25,6.6,17,12,3,17,15,9,3,15,NA,NA,NA,NA,NA,1,NA,1,2,2,NA,1
"568","CTYZ_00000680","Ctyz_7","CDS","Uncharacterized[space]protein",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","CTYZ_00000681","Ctyz_7","CDS","eIF-3A[space]like[space]translation[space]initiation[space]factor[space]that[space]has[space]a[space]WD40[space]repeat-containing[space]beta[space]propeller[space]protein",15.5,12.23,26,26,7,3,26,25,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"570","CTYZ_00000682","Ctyz_7","CDS","WD40/YVTN[space]repeat-like-containing[space]protein",7.25,0.96,8,7,8,6,5,3,8,3,NA,NA,NA,NA,1,3,NA,2,2,1,NA,1
"571","CTYZ_00000683","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","CTYZ_00000684","Ctyz_7","CDS","Phosphoglycerate[space]kinase",1.75,0.5,2,2,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","CTYZ_00000685","Ctyz_7","CDS","N-terminal[space]acetyltransferase[space]A[space]auxiliary[space]subunit[space]with[space]TPR[space]repeat",3.75,1.71,3,2,4,6,3,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"574","CTYZ_00000686","Ctyz_7","CDS","Adipose-regulatory[space]protein[space](Seipin)",1.5,0.71,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","CTYZ_00000688","Ctyz_7","CDS","SecY/Sec61[space]signal[space]peptide[space]plus[space]9[space]transmembrane[space]domain-containing[space]protein",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","CTYZ_00000689","Ctyz_7","CDS","Uncharacterized[space]protein",1.67,1.15,1,1,NA,3,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","CTYZ_00000690","Ctyz_7","CDS","Syf1p[space]protein[space]with[space]8[space]HAT[space]domains",3.5,2.65,1,7,2,4,1,7,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","CTYZ_00000691","Ctyz_7","CDS","MYND[space]plus[space]SET[space]domains[space]plus[space]5[space]Ank[space]repeat-containing[space]protein",6.5,2.52,4,10,6,6,4,10,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","CTYZ_00000692","Ctyz_7","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","CTYZ_00000693","Ctyz_7","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","CTYZ_00000694","Ctyz_7","CDS","EF-hand[space]calcium-binding[space]domain-containing[space]protein",22,9.9,23,31,8,26,16,19,6,23,NA,NA,NA,NA,1,3,1,1,6,9,1,2
"582","CTYZ_00000695","Ctyz_7","CDS","EF-hand[space]calcium-binding[space]domain-containing[space]protein",9.5,7.33,6,19,2,11,4,15,2,10,NA,NA,NA,NA,1,1,NA,NA,1,3,NA,1
"583","CTYZ_00000696","Ctyz_7","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","CTYZ_00000698","Ctyz_7","CDS","RNA-binding[space]S4/S9[space]domain-containin[space]protein",1,0,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","CTYZ_00000699","Ctyz_7","CDS","snRNA-activating[space]protein[space]complex[comma][space]subunit[space]3",1.67,0.58,2,1,NA,2,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","CTYZ_00000700","Ctyz_7","CDS","Uncharacterized[space]protein",3.67,0.58,4,3,NA,4,4,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","CTYZ_00000701","Ctyz_7","CDS",NA,1.67,0.58,NA,2,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
"588","CTYZ_00000702","Ctyz_7","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","CTYZ_00000703","Ctyz_7","CDS","Nuclear[space]transport[space]factor[space]2[space]domain[space]containing[space]protein",3,1,3,2,NA,4,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","CTYZ_00000704","Ctyz_7","CDS","Uncharacterized[space]protein",2.75,1.71,2,5,1,3,2,5,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"591","CTYZ_00000705","Ctyz_7","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","CTYZ_00000706","Ctyz_7","CDS","Zinc[space]finger[space]C3H1-type[space]/CCCH-type[space]domain",3,1,3,4,NA,2,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","CTYZ_00000707","Ctyz_7","CDS","Bromo[space]domain-containing[space]protein",9,2.71,10,11,5,10,8,10,5,10,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA
"594","CTYZ_00000708","Ctyz_7","CDS","Uncharacterized[space]protein",2.67,1.15,2,4,NA,2,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","CTYZ_00000709","Ctyz_7","CDS","Uncharacterized[space]protein",2.67,0.58,3,2,NA,3,2,2,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"596","CTYZ_00000710","Ctyz_7","CDS","DEAD/DEAH[space]box[space]helicase[space]domain[space]containing[space]protein",5.33,4.04,3,10,NA,3,3,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"597","CTYZ_00000711","Ctyz_7","CDS","Ringfinger+4xC2H2+littlefinger[space]domain-containing[space]protein",1.33,0.58,1,2,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","CTYZ_00000712","Ctyz_7","CDS","CBF1[space]interacting[space]co-repressor[space]CIR[space]domain[space]containing[space]protein",1,0,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","CTYZ_00000713","Ctyz_7","CDS","Ser/Thr[space]protein[space]kinase",2.25,0.96,3,2,1,3,2,1,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"600","CTYZ_00000714","Ctyz_7","CDS","Cyclin",4,2.58,5,3,1,7,4,3,1,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"601","CTYZ_00000715","Ctyz_7","CDS","Uncharacterized[space]protein",8.25,3.69,8,13,8,4,7,13,8,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"602","CTYZ_00000716","Ctyz_7","CDS","Uncharacterized[space]protein",3.25,1.26,5,3,2,3,5,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","CTYZ_00000718","Ctyz_7","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","CTYZ_00000720","Ctyz_7","CDS","EF-hand[space]calcium-binding[space]/Protein[space]kinase[space]domain[space]containing[space]protein",2.25,0.96,3,2,1,3,3,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","CTYZ_00000721","Ctyz_7","CDS","Uncharacterized[space]protein",20.75,9.81,31,25,8,19,30,24,8,19,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"606","CTYZ_00000722","Ctyz_7","CDS","Uncharacterized[space]protein",6.5,3.87,7,10,1,8,4,7,1,7,NA,NA,NA,NA,1,1,NA,NA,2,2,NA,1
"607","CTYZ_00000723","Ctyz_7","CDS","Protein[space]kinase-like[space]domain[space]containing[space]protein",4.33,3.21,3,8,NA,2,3,7,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"608","CTYZ_00000724","Ctyz_7","CDS","Glycosyltransferase[space]2-like[space]protein",11.75,7.23,16,14,1,16,8,11,1,16,NA,NA,NA,NA,1,NA,NA,NA,7,3,NA,NA
"609","CTYZ_00000725","Ctyz_7","CDS","putative[space]Casein[space]kinase[space]II[comma][space]alpha[space]subunit",2,0.82,3,2,1,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
